date,description,amount
2024-01-03,Stripe Customer Payouts,18400.00
2024-01-05,ACME Payroll Services,-12500.00
2024-01-07,AWS Cloud Hosting,-820.45
2024-01-09,Google Ads Campaign,-1450.00
2024-01-11,WeWork Office Rent,-3200.00
2024-01-12,Notion Subscription,-96.00
2024-01-14,Shopify Payout,9250.50
2024-01-15,Slack Subscription,-120.00
2024-01-18,Figma Subscription,-180.00
2024-01-19,PG&E Utilities,-410.20
2024-01-22,Stripe Customer Payouts,15600.00
2024-01-24,ACME Payroll Services,-12500.00
2024-01-25,Facebook Ads,-980.00
2024-02-02,Stripe Customer Payouts,17200.00
2024-02-05,ACME Payroll Services,-12500.00
2024-02-07,AWS Cloud Hosting,-915.30
2024-02-09,Google Ads Campaign,-1620.00
2024-02-11,WeWork Office Rent,-3200.00
2024-02-12,Notion Subscription,-96.00
2024-02-14,Shopify Payout,10250.75
2024-02-15,Slack Subscription,-120.00
2024-02-18,Figma Subscription,-180.00
2024-02-19,PG&E Utilities,-455.10
2024-02-22,Stripe Customer Payouts,14800.00
2024-02-24,ACME Payroll Services,-12500.00
2024-02-25,Facebook Ads,-1120.00
2024-03-02,Stripe Customer Payouts,19800.00
2024-03-05,ACME Payroll Services,-12500.00
2024-03-07,AWS Cloud Hosting,-950.10
2024-03-09,Google Ads Campaign,-1750.00
2024-03-11,WeWork Office Rent,-3400.00
2024-03-12,Notion Subscription,-96.00
2024-03-14,Shopify Payout,11500.25
2024-03-15,Slack Subscription,-120.00
2024-03-18,Figma Subscription,-180.00
2024-03-19,PG&E Utilities,-438.90
2024-03-22,Stripe Customer Payouts,16400.00
2024-03-24,ACME Payroll Services,-12500.00
2024-03-25,Facebook Ads,-1050.00
2024-03-28,Adobe Creative Cloud,-599.88
2024-03-30,HubSpot CRM,-890.00
