date,description,amount
2026-06-02,Payroll - June Batch 1,-8500.00
2026-06-03,AWS Cloud Services,-420.50
2026-06-04,Office Rent June,-2500.00
2026-06-05,Client Payment - Acme Corp,15000.00
2026-06-06,Facebook Ads Campaign,-650.00
2026-06-07,Zoom Subscription,-14.99
2026-06-08,Vendor - PaperPlus Supplies,-320.00
2026-06-10,Electricity Bill,-180.00
2026-06-11,Slack Subscription,-8.00
2026-06-12,Client Payment - Beta LLC,9500.00
2026-06-13,Payroll - June Batch 2,-8500.00
2026-06-14,Google Ads Campaign,-800.00
2026-06-15,Internet Bill,-95.00
2026-06-16,Vendor - TechParts Inc,-1200.00
2026-06-17,Notion Subscription,-10.00
2026-06-18,Client Payment - Gamma Ltd,7200.00
2026-06-19,Water Bill,-60.00
2026-06-20,AWS Cloud Services,-435.00
2026-06-21,Office Supplies - Staples,-150.00
2026-06-22,Vendor - PaperPlus Supplies,-310.00
2026-07-02,Payroll - July Batch 1,-8500.00
2026-07-03,AWS Cloud Services,-450.00
2026-07-04,Office Rent July,-2500.00
2026-07-05,Client Payment - Acme Corp,16000.00
2026-07-06,Instagram Ads Campaign,-700.00
2026-07-07,Zoom Subscription,-14.99
2026-07-08,Vendor - PaperPlus Supplies,-330.00
2026-07-10,Electricity Bill,-210.00
2026-07-11,Slack Subscription,-8.00
2026-07-12,Client Payment - Delta Co,10500.00
2026-07-13,Payroll - July Batch 2,-8500.00
2026-07-14,Google Ads Campaign,-820.00
2026-07-15,Internet Bill,-95.00
2026-07-16,Vendor - TechParts Inc,-1350.00
2026-07-17,Notion Subscription,-10.00
2026-07-18,Client Payment - Gamma Ltd,8100.00
2026-07-19,Water Bill,-65.00
2026-07-20,AWS Cloud Services,-460.00
2026-07-21,Office Supplies - Staples,-175.00
2026-07-22,Vendor - PaperPlus Supplies,-300.00
2026-07-23,Adobe Creative Cloud,-52.99
